Quantity,Discription,Definition,Unit,Alias,
[B],magnetic flux density. magnetic induction. B field,[F]/([Q]*[v]),kg/(A*s**2),[BF] | [BB] | [magnetic_field],
[C],capacitance,[Q]/[V],A**2*s**4/(kg*m**2),,
[D],displacement field,[eps_0]*[EE],A*s/m**2,[D_vec] | [diplacement_field],
[D_diff],diffusion constant,[S/t],m**2/s,,
[E],energy,[F]*[l],kg*m**2/s**2,[energy],
[EE],electric field intensity. E field,[F]/[Q],kg*m/(A*s**3),[EF] | [electric_field] | [E_q] | [E_vec],
[F],force,[m]*[a],kg*m/s**2,,
[G],gravitational constant,[F]*[l]**2/[m]**2,m**3/(kg*s**2),[G_g],
[H],magnetic field intensity,[B]/[mu_0],A/m,,
[I],current,A,A,,
[I_v],luminous intensity,cd,cd,,
[J],current density,[I]/[S],A/m**2,[j],
[L],Inductance,[phi]/[I],kg*m**2/(A**2*s**2),,
[M],magnetization,[H],A/m,[M_mag],
[N_A],Avogadro constant,1/mol,1/mol,,
[P],power,[E]/[t],kg*m**2/s**3,[P_pow],
[Q],charge,[I]*[t],A*s,[q],
[R],resistance,[V]/[I],kg*m**2/(A**2*s**3),,
[R_K],von Klitzing constant,[h]/[e]**2,kg*m**2/(A**2*s**3),,
[S],area,[l]**2,m**2,,
[T],temperature,K,K,,
[V],voltage,[E]/[Q],kg*m**2/(A*s**3),,
[V_l],volume,[l**3],m**3,,
[a],acceleration,[v]/[t],m/s**2,,
[alpha],fine structure constant,1,1,[alp],
[c],speed of light,[v],m/s,[c_0],
[conductance],conductance 3D,1/[R],A**2*s**3/(kg*m**2),[G_cond_3D] | [G_cond],
[e],unit charge,[Q],A*s,,
[epsilon],dielectric constant,[eps_0],A**2*s**4/(kg*m**3),[eps],
[epsilon_0],vacuum dielectric constant,[Q]**2/([F]*[l]**2),A**2*s**4/(kg*m**3),[eps_0],
[f],frequency,1/[t],1/s,[nu],
[g],acceleration of gravity,[a],m/s**2,,
[h],Planck's constant,[E]/[nu],kg*m**2/s,,
[hbar],normalized Planck's constant,[h],kg*m**2/s,,
[k],wave number,1/[l],1/m,,
[k_B],Boltzman constant,[E]/[T],kg*m**2/(K*s**2),,
[l],length,m,m,[r],
[m],mass,kg,kg,,
[mobility],3D mobility,[Q]*[t]/[m],A*s**2/kg,[mu_mob] | [u_mob],
[mole],amount of substance,mol,mol,,
[mu_0],vacuum permeability,1/([c]**2*[eps_0]),kg*m/(A**2*s**2),[u_0],
[mu_B],Bohr magneton,[e]*[hbar]/[m],A*m**2,[u_B],
[n],3D density,1/[l]**3,m**(-3),,
[nabla],nabla operator,1/[l],1/m,[nbl],
[p],momentum,[m]*[v],kg*m/s,,
[phi],magnetic flux,[phi_0],kg*m**2/(A*s**2),,
[phi_0],magnetic flux quantum,[h]/[e],kg*m**2/(A*s**2),,
[potential_E],electric potential,[E]*[l],kg*m**3/s**2,[phi_E],
[pressure],pressure,[F]/[S],kg/(m*s**2),[P_prs],
[resistivity],resistivity,[R]*[l],kg*m**3/(A**2*s**3),[rho_R] | [rho_rss],
[rho],charge density,[Q]*[n],A*s/m**3,[rho_Q] | [rho_e] | [rho_q],
[rho_m],density of mass,[m]/[l]**3,kg/m**3,,
[sigma],conductivity 3D,[J]/[EE],A**2*s**3/(kg*m**3),[sigma_3D] | [sgm] | [sgm_3D] | [conductivity] | [conductivity_3D] | [cond] | [cond_3D],
[sigma_2D],conductivity 2D,[sigma_3D]*[l],A**2*s**3/(kg*m**2),[sgm_2D] | [conductivity_2D] | [cond_2D],
[t],time,s,s,,
[v],velocity,[l]/[t],m/s,,
[w],angular frequency,[f],1/s,[omega] | [omg],
